"SampleYear","FirstSampleDate","ProjectRegion","Subregion","Habitat","SiteCode","SiteID","SiteName","StationID","TRANSECT","AbbrName","SciName","Tally","Density"
2011,2011-06-29,"NPSDT","DT","P","1PA",27,"The Maze",271,"300-10","OCTO","Total Octocoral",78,7.8
2011,2011-06-29,"NPSDT","DT","P","1PA",27,"The Maze",272,"300-10","OCTO","Total Octocoral",58,5.8
2011,2011-06-29,"NPSDT","DT","P","1PA",27,"The Maze",273,"300-10","OCTO","Total Octocoral",54,5.4
2011,2011-06-29,"NPSDT","DT","P","1PA",27,"The Maze",274,"300-10","OCTO","Total Octocoral",55,5.5
2011,2011-06-28,"NPSDT","DT","P","1PB",28,"Davis Rock",281,"300-10","OCTO","Total Octocoral",0,0
2011,2011-06-28,"NPSDT","DT","P","1PB",28,"Davis Rock",282,"300-10","OCTO","Total Octocoral",0,0
2011,2011-06-28,"NPSDT","DT","P","1PB",28,"Davis Rock",283,"300-10","OCTO","Total Octocoral",0,0
2011,2011-06-28,"NPSDT","DT","P","1PB",28,"Davis Rock",284,"300-10","OCTO","Total Octocoral",0,0
2011,2011-06-28,"NPSDT","DT","P","1PC",29,"Texas Rock",291,"300-10","OCTO","Total Octocoral",7,0.7
2011,2011-06-28,"NPSDT","DT","P","1PC",29,"Texas Rock",292,"300-10","OCTO","Total Octocoral",8,0.8
2011,2011-06-28,"NPSDT","DT","P","1PC",29,"Texas Rock",293,"300-10","OCTO","Total Octocoral",2,0.2
2011,2011-06-28,"NPSDT","DT","P","1PC",29,"Texas Rock",294,"300-10","OCTO","Total Octocoral",10,1
2011,2011-06-08,"FKNMS","UK","P","9P3",32,"Porter Patch",321,"300-10","OCTO","Total Octocoral",90,9
2011,2011-06-08,"FKNMS","UK","P","9P3",32,"Porter Patch",322,"300-10","OCTO","Total Octocoral",NA,NA
2011,2011-06-08,"FKNMS","UK","P","9P3",32,"Porter Patch",323,"300-10","OCTO","Total Octocoral",72,7.2
2011,2011-06-08,"FKNMS","UK","P","9P3",32,"Porter Patch",324,"300-10","OCTO","Total Octocoral",86,8.6
2011,2011-06-11,"FKNMS","UK","P","9P4",33,"Admiral",331,"300-10","OCTO","Total Octocoral",23,2.3
2011,2011-06-11,"FKNMS","UK","P","9P4",33,"Admiral",332,"300-10","OCTO","Total Octocoral",9,0.9
2011,2011-06-11,"FKNMS","UK","P","9P4",33,"Admiral",333,"300-10","OCTO","Total Octocoral",57,5.7
2011,2011-06-11,"FKNMS","UK","P","9P4",33,"Admiral",334,"300-10","OCTO","Total Octocoral",51,5.1
2011,2011-05-18,"FKNMS","MK","P","7P1",34,"West Turtle Shoal",341,"300-10","OCTO","Total Octocoral",NA,NA
2011,2011-05-18,"FKNMS","MK","P","7P1",34,"West Turtle Shoal",342,"300-10","OCTO","Total Octocoral",NA,NA
2011,2011-05-18,"FKNMS","MK","P","7P1",34,"West Turtle Shoal",343,"300-10","OCTO","Total Octocoral",NA,NA
2011,2011-05-18,"FKNMS","MK","P","7P1",34,"West Turtle Shoal",344,"300-10","OCTO","Total Octocoral",NA,NA
2011,2011-05-13,"FKNMS","MK","P","7P2",35,"Dustan Rocks",351,"300-10","OCTO","Total Octocoral",NA,NA
2011,2011-05-13,"FKNMS","MK","P","7P2",35,"Dustan Rocks",352,"300-10","OCTO","Total Octocoral",NA,NA
2011,2011-05-13,"FKNMS","MK","P","7P2",35,"Dustan Rocks",353,"300-10","OCTO","Total Octocoral",NA,NA
2011,2011-05-13,"FKNMS","MK","P","7P2",35,"Dustan Rocks",354,"300-10","OCTO","Total Octocoral",NA,NA
2011,2011-07-20,"FKNMS","LK","P","5P1",36,"West Washer Women",361,"300-10","OCTO","Total Octocoral",59,5.9
2011,2011-07-20,"FKNMS","LK","P","5P1",36,"West Washer Women",362,"300-10","OCTO","Total Octocoral",89,8.9
2011,2011-07-21,"FKNMS","LK","P","5P1",36,"West Washer Women",363,"300-10","OCTO","Total Octocoral",35,3.5
2011,2011-07-21,"FKNMS","LK","P","5P1",36,"West Washer Women",364,"300-10","OCTO","Total Octocoral",68,6.8
2011,2011-07-20,"FKNMS","LK","P","5P3",38,"Cliff Green",381,"300-10","OCTO","Total Octocoral",112,11.2
2011,2011-07-19,"FKNMS","LK","P","5P3",38,"Cliff Green",382,"300-10","OCTO","Total Octocoral",107,10.7
2011,2011-07-20,"FKNMS","LK","P","5P3",38,"Cliff Green",383,"300-10","OCTO","Total Octocoral",133,13.3
2011,2011-07-19,"FKNMS","LK","P","5P3",38,"Cliff Green",384,"300-10","OCTO","Total Octocoral",71,7.1
2011,2011-06-26,"NPSDT/FKNMS","DT","P","1P1",41,"White Shoal",411,"300-10","OCTO","Total Octocoral",48,4.8
2011,2011-06-26,"NPSDT/FKNMS","DT","P","1P1",41,"White Shoal",412,"300-10","OCTO","Total Octocoral",72,7.2
2011,2011-06-26,"NPSDT/FKNMS","DT","P","1P1",41,"White Shoal",413,"300-10","OCTO","Total Octocoral",56,5.6
2011,2011-06-26,"NPSDT/FKNMS","DT","P","1P1",41,"White Shoal",414,"300-10","OCTO","Total Octocoral",90,9
2011,2011-07-01,"NPSDT","DT","P","1P4",44,"Temptation Rock",441,"300-10","OCTO","Total Octocoral",54,5.4
2011,2011-07-01,"NPSDT","DT","P","1P4",44,"Temptation Rock",442,"300-10","OCTO","Total Octocoral",36,3.6
2011,2011-07-01,"NPSDT","DT","P","1P4",44,"Temptation Rock",443,"300-10","OCTO","Total Octocoral",56,5.6
2011,2011-07-01,"NPSDT","DT","P","1P4",44,"Temptation Rock",444,"300-10","OCTO","Total Octocoral",25,2.5
2011,2011-06-30,"NPSDT","DT","P","1P5",45,"Mayer's Peak",451,"300-10","OCTO","Total Octocoral",140,14
2011,2011-06-29,"NPSDT","DT","P","1P5",45,"Mayer's Peak",452,"300-10","OCTO","Total Octocoral",244,24.4
2011,2011-06-29,"NPSDT","DT","P","1P5",45,"Mayer's Peak",453,"300-10","OCTO","Total Octocoral",135,13.5
2011,2011-06-29,"NPSDT","DT","P","1P5",45,"Mayer's Peak",454,"300-10","OCTO","Total Octocoral",206,20.6
2011,2011-06-13,"FKNMS","UK","OS","9S1",50,"Carysfort Shallow",501,"300-10","OCTO","Total Octocoral",41,4.1
2011,2011-06-13,"FKNMS","UK","OS","9S1",50,"Carysfort Shallow",502,"300-10","OCTO","Total Octocoral",20,2
2011,2011-06-13,"FKNMS","UK","OS","9S1",50,"Carysfort Shallow",503,"300-10","OCTO","Total Octocoral",405,40.5
2011,2011-06-13,"FKNMS","UK","OS","9S1",50,"Carysfort Shallow",504,"300-10","OCTO","Total Octocoral",204,20.4
2011,2011-06-14,"FKNMS","MK","OS","7S1",54,"Alligator Shallow",541,"300-10","OCTO","Total Octocoral",232,23.2
2011,2011-06-14,"FKNMS","MK","OS","7S1",54,"Alligator Shallow",542,"300-10","OCTO","Total Octocoral",218,21.8
2011,2011-06-14,"FKNMS","MK","OS","7S1",54,"Alligator Shallow",543,"300-10","OCTO","Total Octocoral",284,28.4
2011,2011-06-14,"FKNMS","MK","OS","7S1",54,"Alligator Shallow",544,"300-10","OCTO","Total Octocoral",199,19.9
2011,2011-05-12,"FKNMS","MK","OS","7S2",55,"Tennessee Shallow",551,"300-10","OCTO","Total Octocoral",NA,NA
2011,2011-05-12,"FKNMS","MK","OS","7S2",55,"Tennessee Shallow",552,"300-10","OCTO","Total Octocoral",NA,NA
2011,2011-05-12,"FKNMS","MK","OS","7S2",55,"Tennessee Shallow",553,"300-10","OCTO","Total Octocoral",NA,NA
2011,2011-05-12,"FKNMS","MK","OS","7S2",55,"Tennessee Shallow",554,"300-10","OCTO","Total Octocoral",NA,NA
2011,2011-05-10,"FKNMS","MK","OS","5S1",56,"Sombrero Shallow",561,"300-10","OCTO","Total Octocoral",NA,NA
